Período	P1	P2	P3	P4	Comentario.
2026 S1	5	5	5	5	En mi caso en particular, yo no pude asistir a la reunión inicial, pero ya tuve varias experiencias en participaciones previas por lo que asumí que mucho del proceso no iba a cambiar. De igual forma, al tener alguna duda sobre algo en particular, tenía la libertad de poder acercarme directamente a secretaría para poder aclarar las mismas o directamente contactar con mi tutor asignado vía correo. En donde si tuvo inconvenientes fue en encontrar las documentaciones actualizadas sobre los modelos a tener en cuenta para el desarrollo del anteproyecto. Los mismos no se encontraban disponibles en el sitio https://das.uc.edu.py/estudiantes/tesis.
2025 S1	5	4	5	5	Todo fue muy claro y voy avanzando bien con las reuniones con el tutor!
2024 S2	5	5	5	4	
2026 S1	5	5	5	5	
2025 S2	5	5	4	4	
Otro	5	5	5	5	
2025 S2	5	5	5	5	
2026 S1	4	4	4	4	
2025 S1	5	4	4	4	Se entendió bien todo.
Otro	3	4	5	4	Sería oportuno mejorar la comunicación entre alumnos y tutores.
